127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /assets/d5cab628/toolbar.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:53:24 +0800] "GET /debug/default/toolbar?tag=566a9d1435b55 HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:53:26 +0800] "POST /gii/crud HTTP/1.1" 200 13253
127.0.0.1 - - [11/Dec/2015:17:53:26 +0800] "GET /debug/default/toolbar?tag=566a9d16bcc0f HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:53:55 +0800] "POST /gii/crud HTTP/1.1" 200 20373
127.0.0.1 - - [11/Dec/2015:17:53:55 +0800] "GET /debug/default/toolbar?tag=566a9d33c6ecc HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:53:57 +0800] "POST /gii/crud HTTP/1.1" 200 13301
127.0.0.1 - - [11/Dec/2015:17:53:57 +0800] "GET /debug/default/toolbar?tag=566a9d35b9863 HTTP/1.1" 200 19640
127.0.0.1 - - [11/Dec/2015:17:54:20 +0800] "POST /gii/crud HTTP/1.1" 200 20273
127.0.0.1 - - [11/Dec/2015:17:54:21 +0800] "GET /debug/default/toolbar?tag=566a9d4d056dd HTTP/1.1" 200 19638
127.0.0.1 - - [11/Dec/2015:17:54:25 +0800] "POST /gii/crud HTTP/1.1" 200 13241
127.0.0.1 - - [11/Dec/2015:17:54:25 +0800] "GET /debug/default/toolbar?tag=566a9d5151a94 HTTP/1.1" 200 19638
127.0.0.1 - - [14/Dec/2015:09:30:23 +0800] "GET /favicon.ico HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:14 +0800] "GET /gii HTTP/1.1" 200 4318
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/8bb60d5/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/fc1cb3d0/yii.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/c86b5152/typeahead.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/3f8ec639/gii.js HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2015:10:20:16 +0800] "GET /assets/d5cab628/toolbar.js HTTP/1.1" 304 -
